LibRef,Comment,Description,Designator,Value,Footprint,Quantity,Pins,ComponentLink1Description,ComponentLink1URL

"LQ_KXXP144-SYSVG","","","LQ-K60P144SYS-VG","","LQ_KXXP144-SYSVG","1","124","",""
"Header 8X2","OV7620","Header, 8-Pin, Dual row","P4","","2.54≈≈’Î2X8","1","16","",""
"Header 6X2","CCD TSL1401","Header, 6-Pin, Dual row","P6","","2.54≈≈’Î2X6","1","12","",""
"Header 5X2","ADC","Header, 5-Pin, Dual row","P10","","2.54≈≈’Î2X5","1","10","",""
"Header 5X2","GPIO","Header, 5-Pin, Dual row","P12","","2.54≈≈’Î2X5","1","10","",""
"AS1015","AS1015","ø…µ˜…˝—π–æ∆¨","U3","","NSO8_N","1","8","",""
"Res Pak-8","102","","RP1, RP2","","8P4R_0603","2","8","",""
"SW DIP-4","SW DIP-4","DIP Switch, 4 Position, SPST","S1","","BMKG4","1","8","",""
"Header 7","OLED","Header, 7-Pin","P5","","HDR1X7","1","7","",""
"Header 3X2","DC3V3","Header, 3-Pin, Dual row","P3","","2.54≈≈’Î2X3","1","6","",""
"Header 3X2","EC0","Header, 3-Pin, Dual row","P1","","2.54≈≈’Î2X3","1","6","",""
"Header 3X2","EC1","Header, 3-Pin, Dual row","P2","","2.54≈≈’Î2X3","1","6","",""
"Header 5","Motor","Header, 5-Pin","P8","","2.54≈≈’Î1X5","1","5","",""
"key","B20","","K0","","TSW DIP-6*6*6","1","4","",""
"key","B21","","K1","","TSW DIP-6*6*6","1","4","",""
"key","B22","","K2","","TSW DIP-6*6*6","1","4","",""
"LM2940","LM2937-3.3V","5VŒ»—π–æ∆¨","U2","","TO-263-3","1","4","",""
"LM2940","LM2940-5.0V","5VŒ»—π–æ∆¨","U1","","TO-263-3","1","4","",""
"Header 3","DJ","Header, 3-Pin","P7","","2.54≈≈’Î1X3","1","3","",""
"Header 3","GHG","Header, 3-Pin","P9","","2.54≈≈’Î1X3","1","3","",""
"Res Tap","Res Tap","Tapped Resistor","R5","2K","VR_A1","1","3","",""
"SW-SPDT","SW-SPDT","SPDT Subminiature Toggle Switch, Right Angle Mounting, Vertical Actuation","S2","","SW3-H2X3_8.6X4.5_L","1","3","Manufacturer Link","http://www.apem.com"
"Cap","Cap","Capacitor","C2, C4","104","0603","2","2","",""
"Cap Pol1","Cap Pol1","Polarized Capacitor (Radial)","C1, C3, C5, C6","470u/25V, 220u, 470u","CT 8*7 - C","4","2","",""
"Diode","IN5824","SS54","D4","","SMA","1","2","",""
"Header 2","BAT","Header, 2-Pin","P11","","KF301-2P","1","2","",""
"Inductor","Inductor","Inductor","L1","33u","CDRH127","1","2","",""
"Res1","Res1","Resistor","R1, R2, R3, R4, R6, R7, R8","1K, 3K3, 2K7, 2K","0603","7","2","",""
"∑¢π‚∂˛º´π‹","∑¢π‚∂˛º´π‹","","D1, D2, D3, D5V","","0603","4","2","",""
